C0025362	LDDB:32.04.02	Mental retardation / developmental delay	Includes mental handicap, learning disabled, but not dementia. It is not progressive and the delay should be present from birth.
C0036572	LDDB:32.06.00	SEIZURES, general abnormalities	SEIZURES, general abnormalities
C1837687	LDDB:14.01.07	Speech delay	Speech delay is common in developmental delay/mental retardation of all types. Use this latter feature rather than speech delay if the delay is more global.
C0262499	LDDB:32.08.05	Microcephaly	A reduction in head circumference of greater than 2SD below the mean. Parental measurements must be taken into account.
C0000769	LDDB:32.05.00	BEHAVIOURAL PROBLEMS, general abnormalities	BEHAVIOURAL PROBLEMS, general abnormalities
C0004352	LDDB:32.05.01	Autism / autistic behaviour	Severe impairment in social relationships, verbal and to some extent non-verbal communication, ritualistic and compulsive behaviour and defects of attention.
C2237041	LDDB:02.01.00	Short stature, general abnormalities	If this category is chosen all forms of 'short stature' are selected
C0020534	LDDB:07.01.05	Hypertelorism	Wide-set eyes. Measured as an interpupillary distance greater than 2SD of the mean.
C2020541	LDDB:07.13.08	Strabismus	Squint. Check cranial nerves for III, IV and VI nerve palsies. In some places (UK) it might be referred to by the patient as a 'cast'.
C1855489	LDDB:06.01.08	Low-set ears	The topmost (superior) insertion of the ear is below an imaginary line drawn horizontally between the canthi of the eyes. The head must be in an upright position. A much over-diagnosed sign.
C0494475	LDDB:32.06.03	Tonic / clonic (grand-mal)	There is a loss of consciousness, followed by tonic contraction of all muscle groups, changing after 30-60 seconds to intermittent clonic jerking and then flaccidity.
C0026827	HP:0001252	Muscular hypotonia	Muscular hypotonia is an abnormally low muscle tone (the amount of tension or resistance to movement in a muscle), often involving reduced muscle strength. Hypotonia is characterized by a diminished resistance to passive stretching.
C0332462	LDDB:08.06.02	Epicanthic folds	These are folds which extend from the upper eyelid towards the medial canthi. They are common in neonates (epicanthus palpebralis) and Asians (epicanthus tarsalis). This entity includes epicanthus inversus which is an epicanthus extending from the medial canthi, downwards and laterally.
C0026827	LDDB:32.04.05	Hypotonia (non-myopathic)	Floppiness not due to muscle disease or peripheral nerve disease, but whose origin is central (mostly in the brain).
C1865000	LDDB:32.05.11	Short attention span	The inability to concentrate for long on one activity before losing interest and moving on to the next.
C0854699	LDDB:08.02.04	Long / prominent eyelashes	Trichomegaly. Unsually long lashes which turn up.
C0239542	LDDB:08.05.04	Palpebral fissures slant up	A 'mongoloid slant' to the palpebral fissure.
C0018798	LDDB:17.05.00	Heart, general abnormalities	Heart, general abnormalities
C0424731	LDDB:23.03.04	Single palmar crease	Note that this might be present unilaterally in 4% of the normal population and in a smaller percentage bilaterally.
C0543481	LDDB:32.32.16	Agenesis / hypoplasia of corpus callosum	The 8cm long interhemispheric structure joining the two halves of the brain. Includes absence or small.
C0221263	LDDB:34.03.04	Patchy pigment of skin / cafe au lait spots	These are large (>2.5cm in adults), light brown pigmented areas. In neurofibromatosis they have a smooth outline, but they might be ragged, as in McCune-Albright syndrome.
C1305420	LDDB:06.01.12	Prominent ears	Most ears that appear prominent are large and rotated forwards (anteverted) - like Prince Charles.
C1999246	LDDB:09.03.01	Depressed / flat nasal bridge	The bridge is that part of the nose situated between the eyes. It might be difficult to assess in infancy when it is normally quite flat. If it remains so, or is particularly flat, use this category
C1865017	LDDB:11.04.05	Thin upper lip	A pencil-line upper lip
C1299351	LDDB:12.04.03	High palate	A high, often gothic shaped palate, in which it is difficult to see the top.
C0151611	LDDB:32.25.00	EEG, general abnormalities	EEG, general abnormalities
C1970372	LDDB:05.02.01	Low frontal hairline	The frontal hairline extends on to and down, the forehead.
C1862856	LDDB:09.03.04	Wide nasal bridge	That portion of the nose situated between the eyes (the bridge) seems wide.
C0001807	LDDB:32.05.04	Aggressive behaviour	Combative behaviour towards others and self. Might occur intermittently in an otherwise placid child, or be continuous and become a major handling problem.
C0221356	LDDB:32.08.02	Brachycephaly	A short head from back to front. If there is a craniosynostosis, it is mostly bi-coronal.
C0004134	LDDB:32.16.00	ATAXIA, general abnormalities	ATAXIA, general abnormalities
C0554972	LDDB:06.01.07	Large ears	These are measured from top to bottom. Strictly speaking they should be above the 97th centile on the chart. Note that ears get larger with age.
